,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
242,30,2500,0.1936,0.1184,0.1936,0.4176,0.368,0.3952,0.32,0.352,0.2592,0.3456
243,40,2500,0.2832,0.3168,0.2592,0.1056,0.3232,0.1328,0.2864,0.1584,0.2592,0.1568
244,50,2500,0.1664,0.1984,0.2592,0.2496,0.2288,0.1824,0.3216,0.1968,0.3008,0.1536
245,60,2500,0.2864,0.1968,0.2288,0.2304,0.1744,0.2224,0.312,0.296,0.1568,0.0896
246,70,2500,0.1648,0.1056,0.2048,0.2256,0.2688,0.2896,0.2304,0.264,0.1936,0.192
247,80,2500,0.1168,0.1376,0.2128,0.216,0.1072,0.1952,0.2624,0.2864,0.2256,0.2528
248,90,2500,0.1632,0.0944,0.1456,0.128,0.1296,0.2112,0.2496,0.2032,0.1632,0.1344
249,100,2500,0.2224,0.1776,0.144,0.1152,0.2496,0.1584,0.136,0.1552,0.2624,0.1552
250,110,2500,0.1552,0.1648,0.1568,0.1264,0.1232,0.224,0.136,0.1408,0.1008,0.1392
251,120,2500,0.2576,0.0992,0.1616,0.1952,0.1552,0.0992,0.1888,0.1824,0.24,0.3488
252,130,2500,0.1328,0.1456,0.2272,0.1232,0.208,0.1872,0.1168,0.1264,0.1152,0.1136
253,140,2500,0.1616,0.0928,0.0992,0.12,0.168,0.1216,0.1344,0.1088,0.1648,0.1072
254,150,2500,0.2048,0.0976,0.128,0.1616,0.128,0.1104,0.128,0.1456,0.1312,0.1488
255,160,2500,0.0944,0.2448,0.1888,0.1056,0.1232,0.1744,0.1968,0.1264,0.1456,0.104
256,170,2500,0.1216,0.0976,0.1648,0.12,0.16,0.1776,0.0752,0.1776,0.0928,0.1008
257,180,2500,0.1536,0.1056,0.0864,0.1728,0.144,0.1408,0.0832,0.1264,0.2432,0.1888
258,190,2500,0.1152,0.1088,0.12,0.096,0.1872,0.1584,0.1776,0.136,0.2064,0.0896
259,200,2500,0.1056,0.1216,0.1312,0.104,0.0992,0.08,0.0944,0.1376,0.1264,0.1488
260,10,3000,0.36533333333333334,0.4026666666666667,0.3586666666666667,0.4493333333333333,0.42933333333333334,0.3466666666666667,0.38133333333333336,0.30533333333333335,0.428,0.42933333333333334
261,20,3000,0.3293333333333333,0.25733333333333336,0.38133333333333336,0.332,0.332,0.36533333333333334,0.196,0.332,0.36133333333333334,0.20533333333333334
262,30,3000,0.33466666666666667,0.25066666666666665,0.31066666666666665,0.32666666666666666,0.21466666666666667,0.32666666666666666,0.29733333333333334,0.21333333333333335,0.35733333333333334,0.312
263,40,3000,0.32133333333333336,0.23866666666666667,0.31733333333333336,0.16133333333333333,0.268,0.29733333333333334,0.30666666666666664,0.204,0.26666666666666666,0.19066666666666668
264,50,3000,0.31466666666666665,0.24533333333333332,0.172,0.196,0.19333333333333333,0.23066666666666666,0.2986666666666667,0.21866666666666668,0.32666666666666666,0.27466666666666667
265,60,3000,0.24933333333333332,0.2773333333333333,0.2786666666666667,0.308,0.24933333333333332,0.13333333333333333,0.31466666666666665,0.16,0.15333333333333332,0.11866666666666667
266,70,3000,0.24133333333333334,0.18,0.24,0.2866666666666667,0.284,0.16133333333333333,0.22533333333333333,0.188,0.17733333333333334,0.164
267,80,3000,0.19733333333333333,0.21733333333333332,0.2733333333333333,0.15466666666666667,0.21066666666666667,0.19466666666666665,0.15333333333333332,0.16266666666666665,0.31066666666666665,0.13333333333333333
268,90,3000,0.136,0.2613333333333333,0.2,0.27466666666666667,0.16133333333333333,0.14,0.18,0.23733333333333334,0.18666666666666668,0.144
269,100,3000,0.144,0.25866666666666666,0.244,0.11866666666666667,0.212,0.20533333333333334,0.21066666666666667,0.18,0.20133333333333334,0.15466666666666667
270,110,3000,0.15333333333333332,0.16666666666666666,0.18933333333333333,0.11333333333333333,0.272,0.144,0.06933333333333333,0.10933333333333334,0.128,0.13733333333333334
271,120,3000,0.15866666666666668,0.2813333333333333,0.136,0.228,0.2653333333333333,0.10933333333333334,0.104,0.18533333333333332,0.14666666666666667,0.11066666666666666
272,130,3000,0.11733333333333333,0.14666666666666667,0.12533333333333332,0.168,0.10933333333333334,0.11866666666666667,0.184,0.14533333333333334,0.18266666666666667,0.11466666666666667
273,140,3000,0.17466666666666666,0.15066666666666667,0.12666666666666668,0.15333333333333332,0.152,0.14266666666666666,0.204,0.088,0.13333333333333333,0.20533333333333334
274,150,3000,0.1,0.132,0.10666666666666667,0.12133333333333333,0.14,0.108,0.108,0.12666666666666668,0.11333333333333333,0.10933333333333334
275,160,3000,0.11333333333333333,0.10933333333333334,0.18666666666666668,0.09733333333333333,0.19733333333333333,0.15866666666666668,0.14133333333333334,0.11866666666666667,0.10933333333333334,0.108
276,170,3000,0.14666666666666667,0.11866666666666667,0.12533333333333332,0.15866666666666668,0.108,0.11066666666666666,0.16933333333333334,0.108,0.124,0.16266666666666665
277,180,3000,0.12,0.12133333333333333,0.176,0.112,0.128,0.11466666666666667,0.17066666666666666,0.13866666666666666,0.17066666666666666,0.112
278,190,3000,0.16666666666666666,0.128,0.10933333333333334,0.18,0.09466666666666666,0.11333333333333333,0.14533333333333334,0.12666666666666668,0.13866666666666666,0.092
279,200,3000,0.10666666666666667,0.104,0.104,0.09733333333333333,0.13866666666666666,0.15333333333333332,0.09333333333333334,0.136,0.08933333333333333,0.116
280,10,3500,0.4034285714285714,0.46514285714285714,0.26171428571428573,0.4297142857142857,0.48228571428571426,0.312,0.3588571428571429,0.416,0.41942857142857143,0.3942857142857143
281,20,3500,0.19085714285714286,0.4,0.376,0.344,0.3291428571428571,0.3462857142857143,0.424,0.26057142857142856,0.4,0.3737142857142857
282,30,3500,0.34285714285714286,0.37142857142857144,0.3554285714285714,0.27314285714285713,0.248,0.29028571428571426,0.16685714285714287,0.3668571428571429,0.37142857142857144,0.37142857142857144
283,40,3500,0.2422857142857143,0.14971428571428572,0.256,0.40685714285714286,0.2571428571428571,0.168,0.26971428571428574,0.26971428571428574,0.17714285714285713,0.20685714285714285
284,50,3500,0.15771428571428572,0.18742857142857142,0.32,0.31542857142857145,0.28114285714285714,0.18857142857142858,0.18285714285714286,0.36,0.3291428571428571,0.13485714285714287
285,60,3500,0.21371428571428572,0.248,0.18514285714285714,0.25142857142857145,0.17257142857142857,0.224,0.2422857142857143,0.21371428571428572,0.17942857142857144,0.31085714285714283
286,70,3500,0.152,0.14742857142857144,0.1737142857142857,0.26971428571428574,0.24114285714285713,0.23885714285714285,0.13942857142857143,0.144,0.2765714285714286,0.14971428571428572
287,80,3500,0.22857142857142856,0.11657142857142858,0.24685714285714286,0.14285714285714285,0.23885714285714285,0.10857142857142857,0.1702857142857143,0.22171428571428572,0.15314285714285714,0.18285714285714286
288,90,3500,0.15542857142857142,0.12685714285714286,0.144,0.22057142857142858,0.19085714285714286,0.21257142857142858,0.2,0.26285714285714284,0.184,0.16228571428571428
289,100,3500,0.16685714285714287,0.13485714285714287,0.21714285714285714,0.23542857142857143,0.16457142857142856,0.2022857142857143,0.22514285714285714,0.16114285714285714,0.26285714285714284,0.22857142857142856
290,110,3500,0.13257142857142856,0.22514285714285714,0.18285714285714286,0.22742857142857142,0.13142857142857142,0.11542857142857142,0.168,0.16,0.21257142857142858,0.23542857142857143
291,120,3500,0.15428571428571428,0.12228571428571429,0.13142857142857142,0.17942857142857144,0.09714285714285714,0.15085714285714286,0.12342857142857143,0.224,0.17485714285714285,0.16
