,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
242,30,260,0.38461538461538464,0.24615384615384617,0.47692307692307695,0.4307692307692308,0.23076923076923078,0.47692307692307695,0.2,0.24615384615384617,0.27692307692307694,0.2923076923076923
243,40,260,0.27692307692307694,0.4,0.1076923076923077,0.3076923076923077,0.3384615384615385,0.15384615384615385,0.2153846153846154,0.26153846153846155,0.35384615384615387,0.24615384615384617
244,50,260,0.4153846153846154,0.3384615384615385,0.2153846153846154,0.2923076923076923,0.38461538461538464,0.2,0.36923076923076925,0.2923076923076923,0.15384615384615385,0.15384615384615385
245,60,260,0.4307692307692308,0.15384615384615385,0.18461538461538463,0.15384615384615385,0.3230769230769231,0.15384615384615385,0.2923076923076923,0.13846153846153847,0.2,0.15384615384615385
246,70,260,0.1076923076923077,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.09230769230769231,0.2153846153846154,0.2153846153846154,0.1076923076923077,0.12307692307692308,0.2153846153846154
247,80,260,0.26153846153846155,0.2923076923076923,0.2153846153846154,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.2923076923076923,0.12307692307692308,0.12307692307692308,0.16923076923076924
248,90,260,0.03076923076923077,0.09230769230769231,0.16923076923076924,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.1076923076923077,0.15384615384615385,0.24615384615384617,0.13846153846153847
249,100,260,0.23076923076923078,0.18461538461538463,0.12307692307692308,0.15384615384615385,0.23076923076923078,0.18461538461538463,0.3076923076923077,0.2153846153846154,0.13846153846153847,0.2
250,110,260,0.12307692307692308,0.2153846153846154,0.07692307692307693,0.18461538461538463,0.16923076923076924,0.06153846153846154,0.15384615384615385,0.16923076923076924,0.06153846153846154,0.15384615384615385
251,120,260,0.13846153846153847,0.15384615384615385,0.07692307692307693,0.18461538461538463,0.1076923076923077,0.12307692307692308,0.16923076923076924,0.16923076923076924,0.09230769230769231,0.23076923076923078
252,130,260,0.12307692307692308,0.09230769230769231,0.2153846153846154,0.13846153846153847,0.07692307692307693,0.18461538461538463,0.12307692307692308,0.3076923076923077,0.13846153846153847,0.2
253,140,260,0.2,0.09230769230769231,0.16923076923076924,0.13846153846153847,0.18461538461538463,0.13846153846153847,0.15384615384615385,0.13846153846153847,0.3076923076923077,0.07692307692307693
254,150,260,0.16923076923076924,0.27692307692307694,0.2,0.2,0.15384615384615385,0.15384615384615385,0.046153846153846156,0.18461538461538463,0.13846153846153847,0.13846153846153847
255,160,260,0.2923076923076923,0.18461538461538463,0.12307692307692308,0.07692307692307693,0.2,0.18461538461538463,0.06153846153846154,0.12307692307692308,0.15384615384615385,0.046153846153846156
256,170,260,0.1076923076923077,0.12307692307692308,0.16923076923076924,0.06153846153846154,0.13846153846153847,0.06153846153846154,0.13846153846153847,0.07692307692307693,0.15384615384615385,0.13846153846153847
257,180,260,0.12307692307692308,0.16923076923076924,0.13846153846153847,0.16923076923076924,0.09230769230769231,0.23076923076923078,0.15384615384615385,0.1076923076923077,0.13846153846153847,0.16923076923076924
258,190,260,0.13846153846153847,0.1076923076923077,0.18461538461538463,0.13846153846153847,0.26153846153846155,0.18461538461538463,0.09230769230769231,0.12307692307692308,0.12307692307692308,0.16923076923076924
259,200,260,0.2923076923076923,0.16923076923076924,0.1076923076923077,0.13846153846153847,0.13846153846153847,0.18461538461538463,0.18461538461538463,0.13846153846153847,0.1076923076923077,0.15384615384615385
260,10,280,0.4,0.35714285714285715,0.4,0.3142857142857143,0.42857142857142855,0.35714285714285715,0.3142857142857143,0.5857142857142857,0.45714285714285713,0.44285714285714284
261,20,280,0.32857142857142857,0.38571428571428573,0.3,0.22857142857142856,0.37142857142857144,0.3,0.17142857142857143,0.44285714285714284,0.34285714285714286,0.35714285714285715
262,30,280,0.5,0.34285714285714286,0.2571428571428571,0.2857142857142857,0.34285714285714286,0.21428571428571427,0.24285714285714285,0.2714285714285714,0.21428571428571427,0.21428571428571427
