,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
380,10,6000,0.12133333333333333,0.13733333333333334,0.11733333333333333,0.12,0.126,0.124,0.14866666666666667,0.12866666666666668,0.124,0.12733333333333333
381,20,6000,0.122,0.13066666666666665,0.11733333333333333,0.12333333333333334,0.13066666666666665,0.11933333333333333,0.12466666666666666,0.11066666666666666,0.12333333333333334,0.11733333333333333
382,30,6000,0.11933333333333333,0.11333333333333333,0.114,0.12266666666666666,0.122,0.11866666666666667,0.13066666666666665,0.11666666666666667,0.12466666666666666,0.12666666666666668
383,40,6000,0.11733333333333333,0.106,0.12066666666666667,0.13733333333333334,0.12533333333333332,0.12933333333333333,0.112,0.11733333333333333,0.11266666666666666,0.11466666666666667
384,50,6000,0.11933333333333333,0.11266666666666666,0.10066666666666667,0.11066666666666666,0.106,0.11333333333333333,0.12333333333333334,0.11533333333333333,0.12066666666666667,0.10533333333333333
385,60,6000,0.10333333333333333,0.10466666666666667,0.112,0.112,0.106,0.114,0.10666666666666667,0.10866666666666666,0.09533333333333334,0.10066666666666667
386,70,6000,0.104,0.09466666666666666,0.08533333333333333,0.10266666666666667,0.098,0.09733333333333333,0.09733333333333333,0.09333333333333334,0.094,0.106
387,80,6000,0.09666666666666666,0.09133333333333334,0.102,0.09066666666666667,0.08933333333333333,0.096,0.098,0.098,0.09666666666666666,0.094
388,90,6000,0.10333333333333333,0.1,0.1,0.09133333333333334,0.09866666666666667,0.09466666666666666,0.092,0.09533333333333334,0.094,0.086
389,100,6000,0.09533333333333334,0.078,0.086,0.09,0.09666666666666666,0.09266666666666666,0.08466666666666667,0.08733333333333333,0.084,0.09666666666666666
390,110,6000,0.07333333333333333,0.086,0.08666666666666667,0.08066666666666666,0.09066666666666667,0.08933333333333333,0.08466666666666667,0.08666666666666667,0.09666666666666666,0.09
391,120,6000,0.094,0.08933333333333333,0.09,0.08666666666666667,0.08866666666666667,0.08,0.08266666666666667,0.08266666666666667,0.09333333333333334,0.07933333333333334
392,130,6000,0.082,0.088,0.08666666666666667,0.09533333333333334,0.08733333333333333,0.07733333333333334,0.08066666666666666,0.07533333333333334,0.078,0.07866666666666666
393,140,6000,0.07866666666666666,0.09133333333333334,0.086,0.07466666666666667,0.07333333333333333,0.07266666666666667,0.08266666666666667,0.076,0.084,0.07466666666666667
394,150,6000,0.08266666666666667,0.082,0.08933333333333333,0.07733333333333334,0.08133333333333333,0.074,0.09333333333333334,0.07866666666666666,0.07666666666666666,0.08866666666666667
395,160,6000,0.084,0.08333333333333333,0.08333333333333333,0.07866666666666666,0.078,0.08866666666666667,0.07333333333333333,0.07733333333333334,0.09,0.07866666666666666
396,170,6000,0.08,0.08066666666666666,0.08466666666666667,0.07333333333333333,0.07933333333333334,0.072,0.082,0.07333333333333333,0.08,0.06866666666666667
397,180,6000,0.074,0.08066666666666666,0.07733333333333334,0.076,0.07533333333333334,0.07933333333333334,0.07733333333333334,0.072,0.06466666666666666,0.08933333333333333
398,190,6000,0.08466666666666667,0.084,0.07133333333333333,0.078,0.08666666666666667,0.07733333333333334,0.06866666666666667,0.07733333333333334,0.07866666666666666,0.08733333333333333
399,200,6000,0.07466666666666667,0.074,0.06666666666666667,0.08133333333333333,0.08133333333333333,0.07,0.078,0.07666666666666666,0.07866666666666666,0.07
