,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
137,180,140,0.05714285714285714,0.11428571428571428,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.11428571428571428,0.17142857142857143,0.11428571428571428,0.08571428571428572,0.08571428571428572
138,190,140,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.14285714285714285,0.02857142857142857,0.05714285714285714
139,200,140,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.17142857142857143,0.08571428571428572,0.11428571428571428,0.14285714285714285,0.05714285714285714
140,10,160,0.1,0.175,0.1,0.075,0.05,0.075,0.1,0.1,0.1,0.1
141,20,160,0.125,0.1,0.15,0.05,0.075,0.075,0.15,0.175,0.125,0.05
142,30,160,0.075,0.15,0.1,0.125,0.1,0.1,0.125,0.15,0.1,0.05
143,40,160,0.175,0.175,0.075,0.0,0.125,0.1,0.075,0.15,0.1,0.125
144,50,160,0.1,0.1,0.1,0.05,0.05,0.025,0.125,0.1,0.1,0.1
145,60,160,0.1,0.125,0.15,0.075,0.15,0.175,0.1,0.075,0.1,0.125
146,70,160,0.125,0.125,0.05,0.15,0.175,0.075,0.125,0.05,0.075,0.125
147,80,160,0.1,0.1,0.075,0.075,0.1,0.125,0.1,0.025,0.075,0.075
148,90,160,0.1,0.15,0.025,0.1,0.05,0.075,0.1,0.125,0.1,0.15
149,100,160,0.075,0.125,0.175,0.1,0.125,0.025,0.05,0.075,0.075,0.1
150,110,160,0.075,0.075,0.05,0.125,0.15,0.075,0.1,0.05,0.075,0.05
151,120,160,0.125,0.025,0.1,0.125,0.1,0.175,0.15,0.1,0.05,0.025
152,130,160,0.075,0.075,0.05,0.075,0.1,0.075,0.125,0.1,0.075,0.1
153,140,160,0.125,0.075,0.05,0.1,0.05,0.075,0.1,0.125,0.075,0.025
154,150,160,0.1,0.05,0.1,0.05,0.075,0.1,0.1,0.125,0.2,0.125
155,160,160,0.1,0.125,0.125,0.05,0.1,0.1,0.075,0.1,0.125,0.125
156,170,160,0.1,0.125,0.125,0.025,0.075,0.2,0.05,0.2,0.05,0.1
157,180,160,0.15,0.075,0.05,0.125,0.175,0.025,0.15,0.1,0.1,0.1
158,190,160,0.15,0.05,0.15,0.05,0.15,0.05,0.2,0.2,0.05,0.1
159,200,160,0.125,0.075,0.1,0.125,0.125,0.075,0.05,0.125,0.1,0.075
160,10,180,0.1111111111111111,0.08888888888888889,0.1111111111111111,0.15555555555555556,0.15555555555555556,0.08888888888888889,0.15555555555555556,0.08888888888888889,0.08888888888888889,0.08888888888888889
161,20,180,0.06666666666666667,0.1111111111111111,0.17777777777777778,0.044444444444444446,0.13333333333333333,0.1111111111111111,0.022222222222222223,0.08888888888888889,0.1111111111111111,0.1111111111111111
162,30,180,0.044444444444444446,0.15555555555555556,0.13333333333333333,0.17777777777777778,0.044444444444444446,0.2,0.17777777777777778,0.1111111111111111,0.08888888888888889,0.044444444444444446
163,40,180,0.06666666666666667,0.06666666666666667,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.13333333333333333,0.08888888888888889,0.08888888888888889,0.13333333333333333,0.1111111111111111
